case,age_group,goal,bucket,score_after,soft_score_after,surrogate_after,surrogate_gap,planned_sodium_mg,final_sodium_mg,hard_rule_ids
164,adult,balanced_nutrition,B_soft_score_shortfall,0.6826,0.6826,0.6996,0.017000000000000015,198.9,122.7,
166,adult,weight_management,B_soft_score_shortfall,0.4302,0.4302,0.447,0.01679999999999998,525.4,251.7,
167,adult,weight_management,B_soft_score_shortfall,0.6237,0.6237,0.6051,-0.01860000000000006,129.0,128.5,
168,adult,weight_management,B_soft_score_shortfall,0.6271,0.6271,0.5873,-0.03979999999999995,432.5,41.4,
170,adult,weight_management,B_soft_score_shortfall,0.6859,0.6859,0.6953,0.009400000000000075,251.2,416.4,
173,adult,glycemic_control,B_soft_score_shortfall,0.6288,0.6288,0.606,-0.022800000000000042,54.9,203.0,
175,adult,glycemic_control,B_soft_score_shortfall,0.6472,0.6472,0.6581,0.01090000000000002,14.1,5.2,
176,adult,balanced_nutrition,B_soft_score_shortfall,0.5213,0.5213,0.4971,-0.0242,323.6,8.7,
177,adult,glycemic_control,B_soft_score_shortfall,0.4628,0.4628,0.4991,0.0363,448.3,292.8,
179,adult,glycemic_control,B_soft_score_shortfall,0.5168,0.5168,0.5106,-0.006199999999999983,687.5,615.0,
180,adult,balanced_nutrition,C_calibration_gap,0.6997,0.6997,0.7118,0.0121,73.9,254.4,
181,adult,glycemic_control,B_soft_score_shortfall,0.537,0.537,0.5431,0.006099999999999994,277.8,267.4,
182,adult,glycemic_control,B_soft_score_shortfall,0.5169,0.5169,0.4913,-0.02560000000000001,448.3,446.5,
183,adult,weight_management,B_soft_score_shortfall,0.4745,0.4745,0.5005,0.025999999999999968,43.7,42.4,
186,adult,weight_management,C_calibration_gap,0.6673,0.6673,0.7008,0.033499999999999974,2.9,129.1,
187,adult,glycemic_control,B_soft_score_shortfall,0.6011,0.6011,0.5894,-0.011699999999999933,1127.0,1114.2,
188,adult,weight_management,B_soft_score_shortfall,0.6284,0.6284,0.6228,-0.005599999999999938,323.1,283.4,
189,adult,glycemic_control,B_soft_score_shortfall,0.5988,0.5988,0.6308,0.03200000000000003,499.9,306.9,
190,adult,glycemic_control,B_soft_score_shortfall,0.4356,0.4356,0.5001,0.0645,849.1,316.9,
191,adult,balanced_nutrition,B_soft_score_shortfall,0.6457,0.6457,0.6988,0.053099999999999925,3392.3,411.4,
192,adult,balanced_nutrition,B_soft_score_shortfall,0.3468,0.3468,0.3637,0.016900000000000026,631.9,518.0,
193,adult,weight_management,B_soft_score_shortfall,0.4339,0.4339,0.4573,0.023399999999999976,394.9,392.3,
195,adult,glycemic_control,B_soft_score_shortfall,0.6302,0.6302,0.6175,-0.012699999999999934,61.4,22.9,
196,adult,glycemic_control,B_soft_score_shortfall,0.5038,0.5038,0.4804,-0.023400000000000032,148.6,148.4,
197,adult,weight_management,B_soft_score_shortfall,0.6139,0.6139,0.6309,0.017000000000000015,105.4,119.9,
198,adult,balanced_nutrition,B_soft_score_shortfall,0.381,0.381,0.4147,0.03370000000000001,245.7,213.2,
199,adult,balanced_nutrition,B_soft_score_shortfall,0.5743,0.5743,0.5872,0.012900000000000023,544.2,351.2,
201,older_adult,glycemic_control,B_soft_score_shortfall,0.5942,0.5942,0.6201,0.025900000000000034,39.5,146.6,
204,older_adult,balanced_nutrition,B_soft_score_shortfall,0.6971,0.6971,0.6034,-0.0937,285.6,273.7,
205,older_adult,weight_management,B_soft_score_shortfall,0.6933,0.6933,0.6844,-0.008900000000000019,78.5,497.7,
206,older_adult,glycemic_control,B_soft_score_shortfall,0.6788,0.6788,0.6527,-0.026100000000000012,418.1,378.0,
207,older_adult,glycemic_control,B_soft_score_shortfall,0.5098,0.5098,0.5243,0.014499999999999957,247.3,243.3,
209,older_adult,glycemic_control,B_soft_score_shortfall,0.6506,0.6506,0.6692,0.01860000000000006,48.1,85.0,
211,older_adult,weight_management,C_calibration_gap,0.6802,0.6802,0.704,0.023799999999999932,95.5,96.0,
212,older_adult,weight_management,B_soft_score_shortfall,0.5777,0.5777,0.5792,0.0015000000000000568,1602.9,1525.9,
213,older_adult,glycemic_control,B_soft_score_shortfall,0.5338,0.5338,0.5219,-0.011900000000000022,2309.6,1837.5,
214,older_adult,weight_management,C_calibration_gap,0.6032,0.6032,0.7214,0.11820000000000008,387.9,468.3,
215,older_adult,weight_management,B_soft_score_shortfall,0.4307,0.4307,0.4266,-0.004100000000000048,668.4,666.6,
216,older_adult,balanced_nutrition,B_soft_score_shortfall,0.6504,0.6504,0.681,0.03060000000000007,51.6,145.5,
