case,age_group,goal,method,valid,safe,score_before,score_after,norm_l1,norm_l2,n_changed,n_unavailable,n_hard_violations,evaluations,runtime_s,note
114,adult,balanced_nutrition,dice_genetic,0,1,0.4156,0.4156,0.0,0.0,0,0,0,6001,13.662,evaluation_budget_exhausted
114,adult,balanced_nutrition,greedy,1,1,0.4156,0.7571,0.3921,0.1922,6,1,0,799,0.111,
115,adult,balanced_nutrition,foodsense_de,0,1,0.3602,0.359,0.005,0.003,0,0,0,641,0.136,plateaued_without_validity
115,adult,balanced_nutrition,wachter,0,1,0.3602,0.3623,0.0609,0.0386,2,0,0,641,0.174,plateaued_without_validity
115,adult,balanced_nutrition,dice_random,1,1,0.3602,0.7453,0.8537,0.6064,2,1,0,2013,0.808,
115,adult,balanced_nutrition,dice_genetic,0,1,0.3602,0.3602,0.0,0.0,0,0,0,6001,11.574,evaluation_budget_exhausted
115,adult,balanced_nutrition,greedy,1,1,0.3602,0.7844,0.6192,0.3893,3,1,0,441,0.063,
116,adult,weight_management,foodsense_de,0,1,0.4023,0.4021,0.017,0.0099,0,0,0,641,0.145,plateaued_without_validity
116,adult,weight_management,wachter,1,1,0.4023,0.7264,1.5021,0.6346,7,2,0,2241,0.571,valid_and_plateaued
116,adult,weight_management,dice_random,1,1,0.4023,0.7871,3.9596,2.8227,3,1,0,3013,1.037,
116,adult,weight_management,dice_genetic,0,1,0.4023,0.4023,0.0,0.0,0,0,0,6001,11.579,evaluation_budget_exhausted
116,adult,weight_management,greedy,1,1,0.4023,0.715,1.2149,0.7521,3,0,0,469,0.059,
117,adult,weight_management,foodsense_de,0,1,0.2552,0.2633,0.0533,0.0381,1,0,0,641,0.145,plateaued_without_validity
117,adult,weight_management,wachter,1,1,0.2552,0.7012,0.8541,0.4166,6,2,0,6001,1.343,evaluation_budget
117,adult,weight_management,dice_random,0,1,0.2552,0.2552,0.0,0.0,0,0,0,6001,1.544,evaluation_budget_exhausted
117,adult,weight_management,dice_genetic,0,1,0.2552,0.2552,0.0,0.0,0,0,0,6001,12.4,evaluation_budget_exhausted
117,adult,weight_management,greedy,0,1,0.2552,0.6722,0.9139,0.6394,3,1,0,399,0.062,
118,adult,weight_management,foodsense_de,0,1,0.4574,0.4575,0.0018,0.0011,0,0,0,641,0.134,plateaued_without_validity
118,adult,weight_management,wachter,0,1,0.4574,0.4575,0.0018,0.0011,0,0,0,641,0.168,plateaued_without_validity
118,adult,weight_management,dice_random,0,1,0.4574,0.4574,0.0,0.0,0,0,0,6001,1.238,evaluation_budget_exhausted
118,adult,weight_management,dice_genetic,0,1,0.4574,0.4574,0.0,0.0,0,0,0,6001,11.175,evaluation_budget_exhausted
118,adult,weight_management,greedy,0,1,0.4574,0.6013,0.1126,0.0784,2,1,0,331,0.045,
119,adult,weight_management,foodsense_de,0,1,0.368,0.4103,0.0209,0.0127,1,0,0,641,0.148,plateaued_without_validity
119,adult,weight_management,wachter,0,1,0.368,0.4103,0.0209,0.0127,1,0,0,641,0.187,plateaued_without_validity
119,adult,weight_management,dice_random,0,1,0.368,0.368,0.0,0.0,0,0,0,6001,1.469,evaluation_budget_exhausted
119,adult,weight_management,dice_genetic,0,1,0.368,0.368,0.0,0.0,0,0,0,6001,12.813,evaluation_budget_exhausted
119,adult,weight_management,greedy,1,1,0.368,0.7043,0.4673,0.2122,5,1,0,833,0.122,
120,adult,balanced_nutrition,foodsense_de,1,1,0.3308,0.78,1.2632,0.8622,4,0,0,2001,0.394,valid_and_plateaued
120,adult,balanced_nutrition,wachter,1,1,0.3308,0.7046,1.05,0.4373,8,2,0,2641,0.652,valid_and_plateaued
120,adult,balanced_nutrition,dice_random,0,1,0.3308,0.6796,0.8684,0.7981,2,1,0,2013,0.768,
120,adult,balanced_nutrition,dice_genetic,0,1,0.3308,0.3308,0.0,0.0,0,0,0,6001,11.822,evaluation_budget_exhausted
120,adult,balanced_nutrition,greedy,1,1,0.3308,0.7168,0.8035,0.5853,3,1,0,386,0.05,
121,adult,weight_management,foodsense_de,0,1,0.6569,0.6466,0.0379,0.0352,1,0,0,641,0.137,plateaued_without_validity
121,adult,weight_management,wachter,0,1,0.6569,0.6934,0.1127,0.0666,3,1,0,5281,1.151,plateaued_without_validity
121,adult,weight_management,dice_random,1,1,0.6569,0.7134,0.5217,0.4224,3,1,0,2013,0.777,
121,adult,weight_management,dice_genetic,0,1,0.6569,0.6569,0.0,0.0,0,0,0,6001,11.683,evaluation_budget_exhausted
121,adult,weight_management,greedy,0,1,0.6569,0.6994,0.152,0.1194,2,1,0,244,0.039,
122,adult,weight_management,foodsense_de,0,1,0.4683,0.4716,0.1222,0.0667,1,0,0,641,0.147,plateaued_without_validity
122,adult,weight_management,wachter,1,1,0.4683,0.7363,2.6409,1.9765,3,1,0,6001,1.317,evaluation_budget
122,adult,weight_management,dice_random,1,1,0.4683,0.8026,3.6633,3.5913,1,0,0,2013,0.686,
122,adult,weight_management,dice_genetic,0,1,0.4683,0.4683,0.0,0.0,0,0,0,6001,12.108,evaluation_budget_exhausted
122,adult,weight_management,greedy,1,1,0.4683,0.7552,2.8155,2.7435,1,0,0,407,0.057,
123,adult,weight_management,foodsense_de,0,1,0.5897,0.612,0.0496,0.0332,2,0,0,641,0.208,plateaued_without_validity
123,adult,weight_management,wachter,0,1,0.5897,0.612,0.0496,0.0332,2,0,0,641,0.179,plateaued_without_validity
123,adult,weight_management,dice_random,0,1,0.5897,0.5897,0.0,0.0,0,0,0,6001,1.245,evaluation_budget_exhausted
123,adult,weight_management,dice_genetic,0,1,0.5897,0.5897,0.0,0.0,0,0,0,6001,12.349,evaluation_budget_exhausted
123,adult,weight_management,greedy,0,1,0.5897,0.6419,0.1084,0.0683,3,0,0,270,0.039,
124,adult,weight_management,foodsense_de,0,1,0.4909,0.501,0.2211,0.1245,2,0,0,641,0.162,plateaued_without_validity
124,adult,weight_management,wachter,1,1,0.4909,0.7984,2.6551,1.6962,6,2,0,1001,0.272,valid_and_plateaued
124,adult,weight_management,dice_random,1,1,0.4909,0.7069,2.5577,1.7724,4,0,0,2013,0.708,
124,adult,weight_management,dice_genetic,0,1,0.4909,0.4909,0.0,0.0,0,0,0,6001,14.577,evaluation_budget_exhausted
124,adult,weight_management,greedy,0,1,0.4909,0.6829,1.0556,0.8437,3,0,0,296,0.042,
125,adult,balanced_nutrition,foodsense_de,0,1,0.4154,0.3906,0.0737,0.0542,1,0,0,641,0.16,plateaued_without_validity
125,adult,balanced_nutrition,wachter,1,1,0.4154,0.7962,2.0172,0.7564,11,3,0,2841,0.794,valid_and_plateaued
125,adult,balanced_nutrition,dice_random,0,1,0.4154,0.4154,0.0,0.0,0,0,0,6001,1.474,evaluation_budget_exhausted
125,adult,balanced_nutrition,dice_genetic,0,1,0.4154,0.4154,0.0,0.0,0,0,0,6001,14.612,evaluation_budget_exhausted
125,adult,balanced_nutrition,greedy,0,1,0.4154,0.689,0.8063,0.5333,4,1,0,666,0.096,
126,adult,balanced_nutrition,foodsense_de,1,1,0.3286,0.7447,1.4602,0.8374,3,0,0,2921,0.551,valid_and_plateaued
126,adult,balanced_nutrition,wachter,0,1,0.3286,0.6905,1.3184,0.5493,7,2,0,3401,0.988,plateaued_without_validity
126,adult,balanced_nutrition,dice_random,1,1,0.3286,0.793,2.3025,1.6352,3,1,0,2013,0.732,
126,adult,balanced_nutrition,dice_genetic,0,1,0.3286,0.3286,0.0,0.0,0,0,0,6001,13.034,evaluation_budget_exhausted
126,adult,balanced_nutrition,greedy,1,1,0.3286,0.7018,0.8408,0.5249,3,0,0,319,0.05,
127,adult,balanced_nutrition,foodsense_de,1,1,0.4359,0.7328,1.3433,0.8141,4,0,0,1881,0.49,valid_and_plateaued
127,adult,balanced_nutrition,wachter,1,1,0.4359,0.7506,1.1015,0.4955,7,1,0,3801,0.996,valid_and_plateaued
127,adult,balanced_nutrition,dice_random,1,1,0.4359,0.7294,2.4119,2.062,2,0,0,2013,0.756,
127,adult,balanced_nutrition,dice_genetic,0,1,0.4359,0.4359,0.0,0.0,0,0,0,6001,12.069,evaluation_budget_exhausted
127,adult,balanced_nutrition,greedy,1,1,0.4359,0.7938,0.8299,0.575,2,0,0,349,0.045,
128,adult,balanced_nutrition,foodsense_de,0,1,0.2779,0.6424,1.6603,1.0535,4,0,0,2241,0.476,plateaued_without_validity
128,adult,balanced_nutrition,wachter,1,1,0.2779,0.7367,1.716,0.8689,7,2,0,3161,0.822,valid_and_plateaued
128,adult,balanced_nutrition,dice_random,0,1,0.2779,0.2779,0.0,0.0,0,0,0,6001,1.282,evaluation_budget_exhausted
128,adult,balanced_nutrition,dice_genetic,0,1,0.2779,0.2779,0.0,0.0,0,0,0,6001,16.985,evaluation_budget_exhausted
128,adult,balanced_nutrition,greedy,1,1,0.2779,0.7199,1.7558,0.8219,6,3,0,697,0.124,
129,adult,glycemic_control,foodsense_de,0,1,0.1827,0.659,1.2682,0.8037,3,0,0,2081,0.452,plateaued_without_validity
129,adult,glycemic_control,wachter,1,1,0.1827,0.7159,1.1724,0.4732,10,4,0,3201,0.874,valid_and_plateaued
129,adult,glycemic_control,dice_random,0,1,0.1827,0.1827,0.0,0.0,0,0,0,6001,1.4,evaluation_budget_exhausted
129,adult,glycemic_control,dice_genetic,0,1,0.1827,0.1827,0.0,0.0,0,0,0,6001,15.143,evaluation_budget_exhausted
129,adult,glycemic_control,greedy,0,1,0.1827,0.6163,0.8008,0.4194,4,1,0,579,0.101,
130,adult,glycemic_control,foodsense_de,0,1,0.1609,0.6912,0.7301,0.4766,4,0,0,4801,1.73,plateaued_without_validity
130,adult,glycemic_control,wachter,1,1,0.1609,0.726,0.6671,0.4601,4,0,0,3961,1.73,valid_and_plateaued
130,adult,glycemic_control,dice_random,1,1,0.1609,0.756,1.5552,1.1519,4,1,0,4013,1.785,
130,adult,glycemic_control,dice_genetic,0,1,0.1609,0.1609,0.0,0.0,0,0,0,6001,15.045,evaluation_budget_exhausted
130,adult,glycemic_control,greedy,1,1,0.1609,0.7289,0.828,0.538,4,0,0,407,0.054,
131,adult,balanced_nutrition,foodsense_de,0,1,0.1702,0.1719,0.1732,0.1566,3,0,0,641,0.179,plateaued_without_validity
131,adult,balanced_nutrition,wachter,0,1,0.1702,0.1719,0.1732,0.1566,3,0,0,641,0.272,plateaued_without_validity
131,adult,balanced_nutrition,dice_random,0,1,0.1702,0.1702,0.0,0.0,0,0,0,6001,1.606,evaluation_budget_exhausted
131,adult,balanced_nutrition,dice_genetic,0,1,0.1702,0.1702,0.0,0.0,0,0,0,6001,14.265,evaluation_budget_exhausted
131,adult,balanced_nutrition,greedy,0,1,0.1702,0.6013,0.3249,0.175,7,0,0,814,0.182,
132,adult,glycemic_control,foodsense_de,0,1,0.3332,0.6919,2.7521,1.7623,8,0,0,2001,0.423,plateaued_without_validity
132,adult,glycemic_control,wachter,0,1,0.3332,0.6765,1.5343,0.6194,9,3,0,4721,1.151,plateaued_without_validity
132,adult,glycemic_control,dice_random,1,1,0.3332,0.81,3.1974,2.217,6,1,0,3013,0.962,
132,adult,glycemic_control,dice_genetic,0,1,0.3332,0.3332,0.0,0.0,0,0,0,6001,12.947,evaluation_budget_exhausted
132,adult,glycemic_control,greedy,1,1,0.3332,0.7376,1.5608,0.873,6,1,0,565,0.076,
133,adult,glycemic_control,foodsense_de,0,1,0.2339,0.6356,0.9117,0.5545,3,0,0,4721,0.928,plateaued_without_validity
133,adult,glycemic_control,wachter,1,1,0.2339,0.7039,1.1732,0.5902,5,0,0,4601,1.086,valid_and_plateaued
133,adult,glycemic_control,dice_random,0,1,0.2339,0.2339,0.0,0.0,0,0,0,6001,1.298,evaluation_budget_exhausted
133,adult,glycemic_control,dice_genetic,0,1,0.2339,0.2339,0.0,0.0,0,0,0,6001,12.362,evaluation_budget_exhausted
133,adult,glycemic_control,greedy,1,1,0.2339,0.7197,1.1766,0.6744,3,0,0,541,0.067,
134,adult,balanced_nutrition,foodsense_de,0,1,0.713,0.6947,0.0272,0.0213,1,0,0,641,0.141,plateaued_without_validity
134,adult,balanced_nutrition,wachter,0,1,0.713,0.6947,0.0272,0.0213,1,0,0,641,0.169,plateaued_without_validity
134,adult,balanced_nutrition,dice_random,1,1,0.713,0.7517,0.8469,0.5971,3,1,0,2013,0.671,
134,adult,balanced_nutrition,dice_genetic,1,1,0.713,0.713,0.0,0.0,0,0,0,6001,11.505,evaluation_budget_exhausted
134,adult,balanced_nutrition,greedy,1,1,0.713,0.7324,0.3673,0.2697,3,0,0,469,0.06,
135,adult,glycemic_control,foodsense_de,0,1,0.2542,0.3093,0.0275,0.0209,1,0,0,641,0.156,plateaued_without_validity
135,adult,glycemic_control,wachter,0,1,0.2542,0.6885,0.5591,0.2193,10,1,0,4881,1.266,plateaued_without_validity
135,adult,glycemic_control,dice_random,0,1,0.2542,0.2542,0.0,0.0,0,0,0,6001,1.617,evaluation_budget_exhausted
135,adult,glycemic_control,dice_genetic,0,1,0.2542,0.2542,0.0,0.0,0,0,0,6001,13.079,evaluation_budget_exhausted
135,adult,glycemic_control,greedy,1,1,0.2542,0.7314,0.4858,0.229,6,1,0,898,0.135,
136,adult,balanced_nutrition,foodsense_de,0,1,0.3706,0.6392,1.1309,0.8037,3,0,0,2401,0.519,plateaued_without_validity
136,adult,balanced_nutrition,wachter,1,1,0.3706,0.7365,1.2959,0.7859,8,1,0,2801,0.653,valid_and_plateaued
136,adult,balanced_nutrition,dice_random,0,1,0.3706,0.3706,0.0,0.0,0,0,0,6001,1.232,evaluation_budget_exhausted
136,adult,balanced_nutrition,dice_genetic,0,1,0.3706,0.3706,0.0,0.0,0,0,0,6001,11.406,evaluation_budget_exhausted
136,adult,balanced_nutrition,greedy,0,1,0.3706,0.6661,1.3683,0.8396,5,0,0,614,0.075,
137,adult,glycemic_control,foodsense_de,0,1,0.5979,0.5771,0.0932,0.0437,3,0,0,641,0.17,plateaued_without_validity
137,adult,glycemic_control,wachter,0,1,0.5979,0.5771,0.0932,0.0437,3,0,0,641,0.223,plateaued_without_validity
137,adult,glycemic_control,dice_random,1,1,0.5979,0.7641,0.174,0.0957,4,0,0,2013,0.927,
137,adult,glycemic_control,dice_genetic,0,1,0.5979,0.5979,0.0,0.0,0,0,0,6001,14.539,evaluation_budget_exhausted
137,adult,glycemic_control,greedy,1,1,0.5979,0.7613,0.1676,0.09,4,0,0,324,0.057,
138,adult,weight_management,foodsense_de,0,1,0.5596,0.5394,0.0669,0.035,3,0,0,641,0.174,plateaued_without_validity
138,adult,weight_management,wachter,0,1,0.5596,0.5394,0.0669,0.035,3,0,0,641,0.206,plateaued_without_validity
138,adult,weight_management,dice_random,1,1,0.5596,0.7443,0.7681,0.7021,4,0,0,2013,0.882,
138,adult,weight_management,dice_genetic,0,1,0.5596,0.5596,0.0,0.0,0,0,0,6001,14.029,evaluation_budget_exhausted
138,adult,weight_management,greedy,1,1,0.5596,0.7588,0.2062,0.1441,4,0,0,312,0.05,
139,adult,balanced_nutrition,foodsense_de,0,1,0.5198,0.5503,0.11,0.0709,2,0,0,641,0.213,plateaued_without_validity
139,adult,balanced_nutrition,wachter,0,1,0.5198,0.5503,0.11,0.0709,2,0,0,641,0.186,plateaued_without_validity
139,adult,balanced_nutrition,dice_random,1,1,0.5198,0.8089,0.3576,0.2582,3,0,0,2013,0.813,
139,adult,balanced_nutrition,dice_genetic,0,1,0.5198,0.5198,0.0,0.0,0,0,0,6001,13.161,evaluation_budget_exhausted
139,adult,balanced_nutrition,greedy,1,1,0.5198,0.78,0.2535,0.1606,3,0,0,279,0.043,
140,adult,glycemic_control,foodsense_de,1,1,0.1799,0.7321,5.4545,4.5444,3,0,0,3921,0.723,valid_and_plateaued
140,adult,glycemic_control,wachter,1,1,0.1799,0.7187,3.5682,1.4373,8,2,0,4641,1.095,valid_and_plateaued
140,adult,glycemic_control,dice_random,0,1,0.1799,0.1799,0.0,0.0,0,0,0,6001,1.172,evaluation_budget_exhausted
140,adult,glycemic_control,dice_genetic,0,1,0.1799,0.1799,0.0,0.0,0,0,0,6001,11.935,evaluation_budget_exhausted
140,adult,glycemic_control,greedy,1,1,0.1799,0.7294,4.0182,1.9151,5,0,0,889,0.119,
141,adult,balanced_nutrition,foodsense_de,0,1,0.3807,0.4978,0.0048,0.0022,0,0,0,641,0.158,plateaued_without_validity
141,adult,balanced_nutrition,wachter,1,1,0.3807,0.7979,0.3774,0.1501,9,1,0,3561,0.923,valid_and_plateaued
141,adult,balanced_nutrition,dice_random,1,1,0.3807,0.7455,0.4678,0.3382,2,0,0,2013,0.892,
141,adult,balanced_nutrition,dice_genetic,0,1,0.3807,0.3807,0.0,0.0,0,0,0,6001,12.776,evaluation_budget_exhausted
141,adult,balanced_nutrition,greedy,1,1,0.3807,0.793,0.2692,0.1881,2,0,0,413,0.064,
142,adult,balanced_nutrition,foodsense_de,0,1,0.4305,0.4316,0.0765,0.0543,2,0,0,641,0.146,plateaued_without_validity
142,adult,balanced_nutrition,wachter,1,1,0.4305,0.7407,1.2178,0.5431,8,2,0,2441,0.621,valid_and_plateaued
142,adult,balanced_nutrition,dice_random,1,1,0.4305,0.7551,1.4158,1.1468,4,1,0,2013,0.717,
142,adult,balanced_nutrition,dice_genetic,0,1,0.4305,0.4305,0.0,0.0,0,0,0,6001,12.311,evaluation_budget_exhausted
142,adult,balanced_nutrition,greedy,1,1,0.4305,0.7034,1.2916,0.7122,5,2,0,642,0.088,
143,adult,balanced_nutrition,foodsense_de,0,1,0.3071,0.3065,0.0067,0.0037,0,0,0,641,0.205,plateaued_without_validity
143,adult,balanced_nutrition,wachter,1,1,0.3071,0.7735,0.7134,0.288,8,2,0,3721,0.991,valid_and_plateaued
143,adult,balanced_nutrition,dice_random,0,1,0.3071,0.3071,0.0,0.0,0,0,0,6001,1.29,evaluation_budget_exhausted
143,adult,balanced_nutrition,dice_genetic,0,1,0.3071,0.3071,0.0,0.0,0,0,0,6001,12.254,evaluation_budget_exhausted
143,adult,balanced_nutrition,greedy,1,1,0.3071,0.7118,0.5993,0.4311,3,1,0,631,0.1,
144,adult,weight_management,foodsense_de,0,1,0.5394,0.5413,0.0161,0.0067,0,0,0,641,0.153,plateaued_without_validity
144,adult,weight_management,wachter,1,1,0.5394,0.749,0.1448,0.106,3,1,0,4641,1.13,valid_and_plateaued
144,adult,weight_management,dice_random,1,1,0.5394,0.8195,0.269,0.253,1,1,0,2013,0.795,
144,adult,weight_management,dice_genetic,0,1,0.5394,0.5394,0.0,0.0,0,0,0,6001,12.222,evaluation_budget_exhausted
144,adult,weight_management,greedy,1,1,0.5394,0.7713,0.1598,0.1438,1,1,0,256,0.035,
145,adult,glycemic_control,foodsense_de,0,1,0.2412,0.6438,1.3313,0.9849,5,0,0,3641,0.744,plateaued_without_validity
145,adult,glycemic_control,wachter,1,1,0.2412,0.7155,1.3083,0.5221,9,1,0,2601,0.662,valid_and_plateaued
145,adult,glycemic_control,dice_random,0,1,0.2412,0.2412,0.0,0.0,0,0,0,6001,1.335,evaluation_budget_exhausted
145,adult,glycemic_control,dice_genetic,0,1,0.2412,0.2412,0.0,0.0,0,0,0,6001,12.667,evaluation_budget_exhausted
145,adult,glycemic_control,greedy,0,1,0.2412,0.6757,1.2521,0.7141,6,0,0,563,0.082,
146,adult,weight_management,foodsense_de,1,1,0.0509,0.7152,0.6028,0.3714,3,0,0,4881,1.137,valid_and_plateaued
146,adult,weight_management,wachter,1,1,0.0509,0.7193,0.5607,0.327,6,0,0,5801,1.48,valid_and_plateaued
146,adult,weight_management,dice_random,0,1,0.0509,0.0509,0.0,0.0,0,0,0,6001,1.429,evaluation_budget_exhausted
146,adult,weight_management,dice_genetic,0,1,0.0509,0.0509,0.0,0.0,0,0,0,6001,13.515,evaluation_budget_exhausted
146,adult,weight_management,greedy,0,1,0.0509,0.6837,0.5785,0.3585,3,0,0,785,0.119,
147,adult,balanced_nutrition,foodsense_de,0,1,0.4061,0.423,0.533,0.2443,5,0,0,641,0.14,plateaued_without_validity
147,adult,balanced_nutrition,wachter,1,1,0.4061,0.7583,4.956,2.0807,11,1,0,1481,0.404,valid_and_plateaued
147,adult,balanced_nutrition,dice_random,0,1,0.4061,0.4061,0.0,0.0,0,0,0,6001,1.225,evaluation_budget_exhausted
147,adult,balanced_nutrition,dice_genetic,0,1,0.4061,0.4061,0.0,0.0,0,0,0,6001,12.37,evaluation_budget_exhausted
147,adult,balanced_nutrition,greedy,0,1,0.4061,0.6748,1.802,0.7723,8,1,0,519,0.062,
148,adult,glycemic_control,foodsense_de,0,1,0.6393,0.6388,0.0453,0.0307,2,0,0,641,0.144,plateaued_without_validity
148,adult,glycemic_control,wachter,0,1,0.6393,0.6388,0.0453,0.0307,2,0,0,641,0.177,plateaued_without_validity
148,adult,glycemic_control,dice_random,1,1,0.6393,0.7382,0.6521,0.535,4,0,0,2013,0.747,
148,adult,glycemic_control,dice_genetic,0,1,0.6393,0.6393,0.0,0.0,0,0,0,6001,11.854,evaluation_budget_exhausted
148,adult,glycemic_control,greedy,1,1,0.6393,0.7802,0.2717,0.2285,3,1,0,250,0.029,
149,adult,weight_management,foodsense_de,0,1,0.4139,0.4162,0.0189,0.0106,0,0,0,641,0.141,plateaued_without_validity
149,adult,weight_management,wachter,1,1,0.4139,0.7009,1.0566,0.5658,7,1,0,1121,0.299,valid_and_plateaued
149,adult,weight_management,dice_random,0,1,0.4139,0.4139,0.0,0.0,0,0,0,6001,1.262,evaluation_budget_exhausted
149,adult,weight_management,dice_genetic,0,1,0.4139,0.4139,0.0,0.0,0,0,0,6001,12.724,evaluation_budget_exhausted
149,adult,weight_management,greedy,0,1,0.4139,0.6739,0.5723,0.29,4,0,0,614,0.09,
150,adult,weight_management,foodsense_de,0,1,0.6885,0.6871,0.0016,0.0008,0,0,0,641,0.165,plateaued_without_validity
150,adult,weight_management,wachter,0,1,0.6885,0.6871,0.0016,0.0008,0,0,0,641,0.183,plateaued_without_validity
150,adult,weight_management,dice_random,1,1,0.6885,0.7252,0.1028,0.1017,1,0,0,2013,0.746,
150,adult,weight_management,dice_genetic,0,1,0.6885,0.6885,0.0,0.0,0,0,0,6001,12.873,evaluation_budget_exhausted
150,adult,weight_management,greedy,0,1,0.6885,0.6871,0.0016,0.0008,0,0,0,117,0.017,
151,adult,balanced_nutrition,foodsense_de,0,1,0.4879,0.4917,0.0132,0.0047,0,0,0,641,0.157,plateaued_without_validity
151,adult,balanced_nutrition,wachter,0,1,0.4879,0.4917,0.0132,0.0047,0,0,0,641,0.193,plateaued_without_validity
151,adult,balanced_nutrition,dice_random,0,1,0.4879,0.4879,0.0,0.0,0,0,0,6001,1.878,evaluation_budget_exhausted
151,adult,balanced_nutrition,dice_genetic,0,1,0.4879,0.4879,0.0,0.0,0,0,0,6001,15.476,evaluation_budget_exhausted
151,adult,balanced_nutrition,greedy,1,1,0.4879,0.7405,0.5063,0.2945,3,1,0,604,0.091,
152,adult,glycemic_control,foodsense_de,0,1,0.6077,0.5965,0.0144,0.0076,1,0,0,641,0.158,plateaued_without_validity
152,adult,glycemic_control,wachter,0,1,0.6077,0.5965,0.0144,0.0076,1,0,0,641,0.208,plateaued_without_validity
152,adult,glycemic_control,dice_random,1,1,0.6077,0.7514,0.0674,0.0575,2,0,0,2013,0.87,
152,adult,glycemic_control,dice_genetic,0,1,0.6077,0.6077,0.0,0.0,0,0,0,6001,14.259,evaluation_budget_exhausted
152,adult,glycemic_control,greedy,1,1,0.6077,0.7474,0.061,0.0512,2,0,0,288,0.044,
153,adult,balanced_nutrition,foodsense_de,0,1,0.5467,0.489,0.169,0.086,4,0,0,641,0.151,plateaued_without_validity
153,adult,balanced_nutrition,wachter,1,1,0.5467,0.7145,1.1961,0.5507,9,3,0,5041,1.196,valid_and_plateaued
153,adult,balanced_nutrition,dice_random,1,1,0.5467,0.7703,2.5126,1.3631,7,1,0,4013,1.007,
153,adult,balanced_nutrition,dice_genetic,0,1,0.5467,0.5467,0.0,0.0,0,0,0,6001,12.363,evaluation_budget_exhausted
153,adult,balanced_nutrition,greedy,1,1,0.5467,0.7157,1.7563,0.9236,7,1,0,519,0.065,
154,adult,glycemic_control,foodsense_de,0,1,0.422,0.4032,0.2319,0.1239,3,0,0,641,0.166,plateaued_without_validity
154,adult,glycemic_control,wachter,0,1,0.422,0.4239,0.2053,0.0922,3,0,0,641,0.183,plateaued_without_validity
154,adult,glycemic_control,dice_random,0,1,0.422,0.422,0.0,0.0,0,0,0,6001,1.259,evaluation_budget_exhausted
154,adult,glycemic_control,dice_genetic,0,1,0.422,0.422,0.0,0.0,0,0,0,6001,13.79,evaluation_budget_exhausted
154,adult,glycemic_control,greedy,0,1,0.422,0.6849,1.8151,1.1856,5,0,0,700,0.108,
155,adult,weight_management,foodsense_de,0,1,0.4795,0.5281,0.0333,0.0212,1,0,0,641,0.138,plateaued_without_validity
155,adult,weight_management,wachter,0,1,0.4795,0.5281,0.0333,0.0212,1,0,0,641,0.167,plateaued_without_validity
155,adult,weight_management,dice_random,1,1,0.4795,0.7175,0.2223,0.1901,2,1,0,2013,0.709,
155,adult,weight_management,dice_genetic,0,1,0.4795,0.4795,0.0,0.0,0,0,0,6001,13.049,evaluation_budget_exhausted
155,adult,weight_management,greedy,1,1,0.4795,0.749,0.2819,0.2495,2,1,0,246,0.036,
156,adult,balanced_nutrition,foodsense_de,1,1,0.2615,0.7632,1.7291,0.7842,7,0,0,1281,0.294,valid_and_plateaued
156,adult,balanced_nutrition,wachter,0,1,0.2615,0.6904,1.2287,0.4825,8,1,0,4721,1.271,plateaued_without_validity
156,adult,balanced_nutrition,dice_random,0,1,0.2615,0.2615,0.0,0.0,0,0,0,6001,1.291,evaluation_budget_exhausted
156,adult,balanced_nutrition,dice_genetic,0,1,0.2615,0.2615,0.0,0.0,0,0,0,6001,12.12,evaluation_budget_exhausted
156,adult,balanced_nutrition,greedy,1,1,0.2615,0.7404,1.3088,0.5749,6,2,0,1004,0.167,
157,adult,weight_management,foodsense_de,0,1,0.4572,0.4827,0.5548,0.2257,6,0,0,641,0.158,plateaued_without_validity
157,adult,weight_management,wachter,1,1,0.4572,0.7249,2.2356,0.6832,16,3,0,3801,0.946,valid_and_plateaued
157,adult,weight_management,dice_random,1,1,0.4572,0.707,2.7785,2.1422,8,1,0,2013,0.766,
157,adult,weight_management,dice_genetic,0,1,0.4572,0.4572,0.0,0.0,0,0,0,6001,13.0,evaluation_budget_exhausted
157,adult,weight_management,greedy,1,1,0.4572,0.7421,2.1835,0.967,9,1,0,563,0.073,
158,adult,glycemic_control,foodsense_de,0,1,0.1868,0.4036,0.3825,0.163,6,0,0,641,0.159,plateaued_without_validity
158,adult,glycemic_control,wachter,1,1,0.1868,0.738,1.5332,0.5258,11,2,0,2081,0.617,valid_and_plateaued
158,adult,glycemic_control,dice_random,0,1,0.1868,0.1868,0.0,0.0,0,0,0,6001,1.433,evaluation_budget_exhausted
158,adult,glycemic_control,dice_genetic,0,1,0.1868,0.1868,0.0,0.0,0,0,0,6001,13.239,evaluation_budget_exhausted
158,adult,glycemic_control,greedy,0,1,0.1868,0.6281,1.3541,0.7595,7,1,0,756,0.13,
159,adult,weight_management,foodsense_de,0,1,0.3219,0.3999,0.1737,0.1103,2,0,0,641,0.171,plateaued_without_validity
159,adult,weight_management,wachter,1,1,0.3219,0.7415,0.9556,0.4653,6,0,0,3681,1.058,valid_and_plateaued
159,adult,weight_management,dice_random,0,1,0.3219,0.3219,0.0,0.0,0,0,0,6001,1.572,evaluation_budget_exhausted
159,adult,weight_management,dice_genetic,0,1,0.3219,0.3219,0.0,0.0,0,0,0,6001,14.107,evaluation_budget_exhausted
159,adult,weight_management,greedy,1,1,0.3219,0.7336,1.9414,0.9245,7,0,0,876,0.177,
